CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"Kurz vor Ankunft aus einer Dienstreise (KW Schoven zur Heimadresse) bin ich Glatteisbedingt in einer Kurve vor meinem Haus mit dem eigenen PKW in den eigenen  Metallgartenzaun gerutscht. Das Auto ist vorne beschaedigt, sowie der Gartenzaun.",Process Safety,Autounfall ohne Personenschaden,Non-Process Safety
"Dienstwegeunfall (Dienstresie): Bei Spurwechsel (2spurige Straße) anderes Fahrzeug touchiert, Sachschaden an beiden Fahrzeugen.
Bereich Cecilienallee 6-7, Düsseldorf",Process Safety,Wegeunfall auf Dienstreise,Non-Process Safety
De bedieningsschermen 3 stuks waren uitgevallen waardoor de STEG en de hulpketels te HBW niet meer bedienbaar waren.,Process Safety,Uitval OS-systemen te EDH en ELD.,Non-Process Safety
Auf dem Weg zum NWB Seminar in Duesseldorf ist mir auf der Muenchener Strasse Abfahrt Uni FR Innenstadt ein Auto hinten seitlich aufgefahren. Es liegt kein Personenschaden vor.,Process Safety,Wegeunfall zum Seminar in Duesseldorf,Non-Process Safety
"Der Akku eines alten Laptops begann anzuschwellen, eine Verformung im Bereich des Trackpads war erkennbar.
Der Betroffene Mitarbeiter suchte das IT-Walk-in-Center auf. 
Diese erkannten das Problem und wiesen darauf hin, dass eine Explosionsgefahr bestehen koennte und das Geraet nicht mehr benutzt werden darf.
Es scheint, dass dieses Problem gelegentlich auftritt, insbesondere bei der Sommerhitze.",Process Safety,Laptop Akku begann anzuschwellen,Non-Process Safety
"01.07 1400hrs  UFA fault hold – alarm observed for failed to open, UF B was in backwash fault.  UF A then made OUT OF SERVICE – informed the CCR. 
02.07 UFA actuator was removed.  1400hrs approx., the valve was replaced as the actuator was assumed ok.  1600hrs chemist went home.
05.07 .        
 - there is no pressure relief on this system, therefore water finds the weakest areas to depart,",Process Safety,WTP UFA overpressurisation,Non-Process Safety
"Ein LKW mit Anhaenger, der im Furnierwerk Pritzwalk beladen wurde, ist mit ausgefahrenem Kran gegen die Heisswasserleitung der Methanisierung gefahren. Der Unfall fand auf oeffentlicher Strasse statt. Die Bruecke, die diesen oeffentlichen Bereich quert wurde dabei vollstaendig umgerissen (45°). Der Unfall kam durch das langsame Rueckwaertssetzen des LKW, mit ausgefahrenem Ladekran (1,5t) zustande. Durch das hohe Gewicht des LKW und die langsame Fahrt, hat der LKW Fahrer die Beruehrung mit der Bruecke relativ lange nicht gemerkt und dadurch sehr lange gedrueckt.",Process Safety,Verkehrsunfall im Bereich der Heisswasserleitung der PTG/Methanierung Falkenhagen,Non-Process Safety
"Ein LKW mit Anhaenger, der im Furnierwerk Pritzwalk beladen wurde, ist mit ausgefahrenem Kran gegen die Heisswasserleitung der Methanisierung gefahren. Der Unfall fand auf oeffentlicher Strasse statt. Die Bruecke, die diesen oeffentlichen Bereich quert wurde dabei vollstaendig umgerissen (45°). Der Unfall kam durch das langsame Rueckwaertssetzen des LKW, mit ausgefahrenem Ladekran (1,5t) zustande. Durch das hohe Gewicht des LKW und die langsame Fahrt, hat der LKW Fahrer die Beruehrung mit der Bruecke relativ lange nicht gemerkt und dadurch sehr lange gedrueckt.",Process Safety,Unfall im Bereich der Heisswasserleitung Falkenhagen,Non-Process Safety
"aerosol paint can failed mechanically, small 4mm hole imploded into can releasing contents over mechanical trainer.",Process Safety,Process Safety,Non-Process Safety
"Beim Co-Working im Capricorn ist am Arbeitsplatz versehentlich ein Fluessigkeit ueber ein privates elektronisches Geraeteines externen Mitarbeiter gelaufen und hat dieses dadurch Beschaedigt und das Geraet ist nicht mehr Betriebsfaehig. 

Es gab keinen Personenschaden, sondern nur ein Sachschaden. Leider gibt es keine passende Kategorie in Synergilife. Falls die Meldung in einem anderen Prozess gestartet werden soll bitte nehmen Sie Kontakt auf.",Process Safety,Privater Laptop durch Fluessigkeit beschaedigt,Non-Process Safety
